"PROVIDER_NAME","PROVIDER_NUMBER","PROVIDER_STREET","PROVIDER_CITY","PROVIDER_COUNTY","PROVIDER_STATE","PROVIDER_ZIP_CODE","PROVIDER_ZIP_CODE_PLUS_4","PROGRAM_NAME","PROGRAM_NUMBER","PROGRAM_COUNTY","PROGRAM_STREET_ADDRESS","PROGRAM_CITY","PROGRAM_STATE","PROGRAM_ZIP_CODE","PROGRAM_ZIP_CODE_PLUS_4","PROGRAM_DIRECTOR","PROGRAM_DIRECTOR_EMAIL","PROGRAM_DIRECTOR_TELEPHONE","PROGRAM_DIRECTOR_PHONE_EXTENSION","PROGRAM_TYPE","SERVICE_TYPE","ADMISSION_PHONE","ADMISSION_PHONE_EXT","TELEHEALTH_SERVICES","ADOLESCENT_DESIGNATION","PROBLEM_GAMBLING","INTEGRATED_LICENSE_SERVICE","PARENTS_WITH_CHILDREN","LGBTQ_ENDORSEMNT","ADDITIONAL_LOCATION_STREET","ADDITIONAL_LOCATION_CITY","ADDITIONAL_LOCATION_ZIP","ADDITIONAL_LOCATION_COUNTYNAME"
"Argus Community, Inc.","10160","160th Street","Bronx","Bronx","NY","10456","","Elizabeth L. Sturz Outpatient Centr OP","227","Bronx","830 Forest Ave","Bronx","NY","10456","","Kenneth Pfeiffer","kepfeiffer@arguscommunity.org","7184015700","","Outpatient Services","Outpatient Clinic","7184015700","","Y","","","","","","226 East 144th Street","Bronx","10451","Bronx"
"Argus Community, Inc.","10160","160th Street","Bronx","Bronx","NY","10456","","Harbor House 1 RR","53152","Bronx","830 Forest Ave","Bronx","NY","10456","","Latoya Greene","lgreene@arguscommunity.org","7184015700","","Residential Services","820 Rehab and Reintegration","","","","","","","","","","","",""
"Argus Community, Inc.","10160","160th Street","Bronx","Bronx","NY","10456","","Harbor House 2 RR","53153","Bronx","830 Forest Ave","Bronx","NY","10456","","Mr. Ed Perez MSW","eperez@arguscommunity.org","7184015788","","Residential Services","820 Rehab and Reintegration","","","","","","","","","","","",""
"Arms Acres, Inc.","32412","75 Seminary Hill Rd","Carmel","Putnam","NY","10512","1921","Arms Acres, Inc. OP 2","52100","Bronx","3584 Jerome Ave","Bronx","NY","10467","","Ms. Thais Mitchell","tmitchell@libertymgt.com","7186531537","5104","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"BASICS, Bronx Addiction Services","1857","Franklin Ave","Bronx","Bronx","NY","10456","6704","Franklin House SRR","53297","Bronx","1064 Franklin Ave","Bronx","NY","10456","","Mr. Antonio M Valdez","anvaldez@basicsinc.org","9173835160","","Residential Services","820 Stabil Rehab Reintegration","","","","","","","","","","","",""
"Bronx Addiction Treatment Center","90008","1500 Waters Pl","Bronx","Bronx","NY","10461","2723","Bronx ATC IP","50740","Bronx","1500 Waters Pl","Bronx","NY","10461","2723","Mr. Donnetta Stallings LMSW","donnetta.stallings@oasas.ny.gov","7189040026","","Inpatient Treatment Services","Inpatient Rehabilitation","9293484753","","Y","","Y","","","","","","",""
"Bronx Counseling Center, LLC","53680","593 E Tremont Ave","Bronx","Bronx","NY","10457","","Bronx Counseling Center, LLC. OP","53960","Bronx","593 E Tremont Ave","Bronx","NY","10457","","Emerson Blutt","eblutt@essenmed.com","9145731240","","Outpatient Services","Outpatient Clinic","","","","","","","","","","","",""
"BronxCare Health System","85190","1276 Fulton Ave","Bronx","Bronx","NY","10456","3402","BronxCare Addictions Detox Prog MSW-IP","52763","Bronx","1285 Fulton Ave","Bronx","NY","10456","","Ms. Teanika Chamberlain LCSW","tchambe1@bronxcare.org","7185183736","","Crisis Services","Med Sup Withdrawal - Inpatient","7189018780","","","","","","","","","","",""
"BronxCare Health System","85190","1276 Fulton Ave","Bronx","Bronx","NY","10456","3402","BronxCare Addictions Rehab Prog IP","51116","Bronx","1285 Fulton Ave","Bronx","NY","10456","","Ms. Teanika Chamberlain LCSW","tchambe1@bronxcare.org","7185183736","","Inpatient Treatment Services","Inpatient Rehabilitation","7189018780","","","","","","","","","","",""
"BronxCare Health System","85190","1276 Fulton Ave","Bronx","Bronx","NY","10456","3402","BronxCare Chemical Dependence OP","52764","Bronx","1285 Fulton Ave","Bronx","NY","10456","","Ms. Teanika Chamberlain LCSW","tchambe1@bronxcare.org","7185183736","","Outpatient Services","Outpatient Clinic","7185183737","","Y","","","Primary Care","","","","","",""
